TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,change,team,tsne_x,tsne_y,color_tsne,ae4_x,ae4_y,color_ae4,ae3_x,ae3_y,color_ae3,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,tsne_y_5000,tsne_x_5000,color_tsne_5000,order,id,Y
49:41.3,46,0.073871409,0.000469704,0.0,0.33521749100000003,0.265419177,0.0,0.037297812,0.487214456,0.280231394,1,0,-77.3282,-43.084938,#e8a50b,0.958398,-0.8719957,#c7dd1e,-0.4387683,-0.9971641,#31c0d7,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,-23.086354999999998,-39.3899,#e8bc01,0,0,-25
49:41.4,46,0.0,0.497416628,0.0371798,0.434059671,0.0,0.282914777,0.961655566,0.494544835,0.278896429,1,1,73.65169499999998,-24.445023000000006,#2a95dc,3.2152224,4.36815,#731aa5,-2.3371131000000003,0.7267661999999999,#a80f65,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,3.3275366,7.8310304,#935a97,0,1,-24
49:41.5,46,0.000911993,0.496477219,0.047426202,0.416403496,0.0,0.277550481,0.963082778,0.501193317,0.278006452,0,1,79.87144,13.185001000000002,#2564e6,3.3028333,4.472855,#7018a9,-2.5846035,0.7184919,#b61056,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.689564,4.394514,#325be2,0,2,-23
49:41.6,46,0.001823985,0.495537811,0.057575018,0.398626308,0.0,0.272546109,0.964319696,0.506818957,0.277227723,0,1,79.92214,13.275309,#2564e7,3.288609,4.4647675000000016,#7118a8,-2.5793874,0.7165052,#b61156,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.664576999999998,4.294608,#325be2,0,3,-22
49:41.6,46,0.002735978,0.494598403,0.068358136,0.379898583,0.0,0.267710515,0.965366318,0.511251279,0.276671487,0,1,79.98363499999998,13.3834715,#2564e7,3.2724056,4.455595,#7118a7,-2.5730743,0.7139496999999999,#b61156,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.627045000000003,4.2046269999999994,#325be2,0,4,-21
49:41.7,46,0.003647971,0.493658995,0.07889729200000001,0.360854663,0.0,0.263047766,0.96603235,0.515172179,0.27644899300000003,0,1,80.05649,13.514561,#2563e7,3.25545,4.4458513,#7218a6,-2.5664644,0.71097636,#b51157,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.583496,4.122929,#325be2,0,5,-20
49:41.8,46,0.0045599640000000006,0.492719587,0.094608441,0.342370916,0.0,0.25956443100000004,0.965937203,0.520627344,0.277116476,0,1,80.15621,13.688542000000002,#2563e7,3.2420325,4.437410400000001,#7318a6,-2.5657318,0.70723754,#b61157,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.533714,4.035298,#335be2,0,6,-19
49:41.9,46,0.005471956,0.491780178,0.103293486,0.32670755100000004,0.0,0.25597332100000003,0.966983825,0.521650188,0.27644899300000003,0,1,80.21695,13.836056,#2563e7,3.225931,4.428477,#7318a5,-2.5577016,0.70455873,#b51157,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.477367,3.978053,#335be2,0,7,-18
49:42.0,46,0.006383949,0.49084077,0.119053428,0.314036327,0.0,0.252892612,0.966317793,0.525912035,0.277672711,0,1,80.28855,14.005572,#2563e7,3.2186995,4.4219813,#7318a4,-2.5605137000000004,0.70033866,#b61257,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.435144,3.9176135000000003,#335be1,0,8,-17
49:42.0,46,0.007295942,0.489901362,0.130324469,0.30223952,0.0,0.250021351,0.96641294,0.525741562,0.277783958,0,1,80.36865,14.149596,#2563e7,3.2070155,4.4139795,#7418a4,-2.5564582,0.6965318,#b61257,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,18.387179999999997,3.8719616,#335be1,0,9,-16
